,,Insertion_sort,,Merge_sort
Size,ExecutionTime1,Comparisons1,ExecutionTime2,Comparisons2
0,0,0,0,0
1,1084,0,125,0
2,2709,1,3042,0
3,958,0,1791,3
4,583,4,459,1
5,1417,5,2209,4
6,542,10,1084,5
7,2083,7,2791,7
8,1584,8,1834,10
9,834,18,1625,12
10,875,22,3667,13
11,1208,27,1625,13
12,167,30,625,17
13,916,37,1459,23
14,2208,39,2375,19
15,875,49,1667,25
16,334,57,667,26
17,708,49,1542,31
18,375,53,2417,38
19,1292,96,2250,28
20,583,98,875,32
21,834,100,2042,34
22,1125,116,3166,36
23,458,125,1584,44
24,375,158,1125,37
25,792,152,2500,48
26,500,150,1167,56
27,708,175,1792,51
28,1708,150,2416,57
29,1625,233,3000,60
30,1500,190,2667,57
31,3083,254,4833,53
32,541,206,1333,62
33,1709,296,4042,70
34,875,235,1834,72
35,1083,308,2875,73
36,667,295,1542,75
37,1625,287,3500,82
38,2125,286,4125,91
39,1875,282,4000,90
40,1750,371,2667,95
41,1875,431,4417,95
42,875,453,2042,94
43,2042,450,4583,96
44,1333,514,2125,99
45,2750,484,3333,100
46,875,468,2541,111
47,625,499,2000,101
48,833,512,3125,113
49,666,538,2416,117
50,2250,572,4125,111
51,1416,611,2666,113
52,750,663,2125,111
53,1958,772,4542,118
54,3666,750,5417,129
55,2250,784,3667,139
56,958,774,2667,129
57,916,821,2458,135
58,1084,918,3250,149
59,917,806,2792,151
60,916,892,3125,140
61,1083,905,2750,149
62,1292,897,3417,159
63,1958,1154,3625,143
64,1125,847,4375,158
65,1333,997,3583,170
66,958,1083,2709,161
67,1583,928,3542,169
68,1666,1190,3833,160
69,1625,1106,5833,183
70,2000,1273,5625,191
71,3625,1185,7625,182
72,2417,1302,6542,195
73,1042,1179,3542,189
74,1125,1191,4000,189
75,1167,1405,4458,198
76,1292,1475,3625,192
77,1834,1410,5250,200
78,1292,1438,3375,201
79,2541,1598,5834,210
80,2375,1455,5042,222
81,1833,1723,5000,229
82,1625,1826,3667,242
83,2000,1683,4542,228
84,2083,1633,4125,227
85,3875,1559,8125,233
86,2833,1793,5958,240
87,3083,1900,6458,231
88,2417,2257,6917,249
89,2708,1871,7417,236
90,1792,2156,4209,241
91,2250,2164,6333,265
92,3042,2352,6334,256
93,2209,2354,5416,242
94,2833,2164,6750,242
95,7584,2111,7084,264
96,3083,2218,6833,264
97,3125,1953,6084,265
98,1792,2183,4167,293
99,2917,2541,6292,265
100,3000,2251,6709,275
101,2500,2756,6042,291
102,3208,2355,10292,296
103,2541,2294,5792,304
104,3375,2512,9292,299
105,2833,2699,6416,299
106,2083,2731,4666,300
107,2750,2640,7000,296
108,4583,2767,8750,299
109,3375,3163,8208,313
110,3125,3328,8208,298
111,3083,3014,7000,332
112,2667,3011,7667,327
113,2375,2991,6917,331
114,3958,3253,8042,322
115,4083,3548,7750,333
116,3208,3499,7125,343
117,2166,2901,5709,345
118,3291,3513,16500,351
119,3250,3712,6875,349
120,3417,3808,8708,348
121,3583,3741,7500,348
122,2500,3874,5292,356
123,4166,4149,8541,351
124,2625,4261,6125,352
125,2750,3561,5667,379
126,2667,3666,7958,357
127,3375,4345,7292,361
128,4000,4070,8500,365
129,3792,4149,7833,376
130,3542,4153,7375,367
131,3083,4347,7292,374
132,3166,4246,7375,385
133,2541,4464,6250,404
134,3375,4430,8584,400
135,2542,4598,7833,402
136,2750,4588,7291,424
137,3583,5452,9583,412
138,4333,4744,9958,428
139,5416,4754,10000,427
140,4208,4809,9708,427
141,3250,5410,7417,420
142,2875,4545,7000,439
143,4291,5049,9250,446
144,3041,5073,8041,435
145,2750,5368,7333,460
146,2833,5396,6709,454
147,3084,5548,8125,456
148,2792,5637,6500,456
149,2750,4636,6833,452
150,3583,5853,9875,465
151,4250,5809,11375,471
152,2792,5283,6708,489
153,5083,5844,11166,473
154,3041,6418,6500,489
155,3000,5525,6666,495
156,3042,6224,6375,507
157,3083,6295,6791,499
158,3333,6806,7375,496
159,3417,5605,8625,492
160,3042,6385,6583,496
161,3250,6657,6917,502
162,3333,6566,8000,524
163,3125,6112,7917,511
164,3334,6599,7667,520
165,3750,6547,9250,523
166,4042,6896,9000,537
167,4667,6886,10542,532
168,4041,7398,8083,529
169,5458,7344,10292,530
170,3125,6430,7250,542
171,3542,7480,7500,565
