,Mersertion,,Merge
Size,ExecutionTime1,Comparisons1,ExecutionTime2,Comparisons2
2814539,447562583,112554513,304357750,28739694
619815,286614000,93202426,58552416,5646888
4852098,494412875,129969248,456349542,51386970
9867264,768370458,181255233,940004666,109616009
3170133,394772416,115305999,293180792,32485098
6120222,555732416,144325870,574653917,65763666
5875510,542068958,142327506,555683834,63072583
7937008,660315083,162449288,757012042,86464283
4457707,474819375,126581261,417307791,46744389
2790124,375331625,112119680,258739750,28480369
2513522,360849500,110573780,231781709,25443321
5934122,550543666,142724959,562030959,63734862
3370083,407845417,116630057,314326959,34785013
3127522,400463625,115110947,289896541,32011667
1904959,326010917,103665652,175160000,18830433
9035654,733132750,173029675,877196208,99516806
9540817,751165625,178093123,914155292,105628114
8261945,677353666,165438359,780453292,89944288
7386053,631842167,155892684,695943750,80215908
2223633,341658833,105985828,202111833,22205360
5297595,534110459,137796033,492788541,56418667
6247407,568726417,145280494,604566041,67076339
1849924,325298333,102754241,169382875,18246154
7092497,609945792,153242163,663922042,76970492
9379460,736442542,176745925,883226416,103626479
1583811,306216083,101034396,143110834,15435899
7538044,638806250,159570173,707559083,82014050
7624082,646148208,160065052,719403041,82998878
664205,254811667,93984319,58056042,6080085
3717003,426910666,119393530,344140583,38542290
9150499,724999291,174209865,862567416,100924423
5139625,504609125,136828340,480211125,54645955
9055994,718470167,173227311,856900667,99771561
4423965,461748083,126330205,411545833,46371512
4806494,492113291,129516159,449185792,50866274
2371683,350010250,107083391,215972792,23858379
9717384,765787125,179829822,945850167,107802716
8771621,707720500,171082228,840415416,96225989
4739901,481748584,128975002,441688417,50045528
3255570,406120542,115782742,305855209,33498080
1998863,332369375,104188441,185485792,19778017
5347487,514996792,138321566,504288417,57028389
1240850,291927833,97712085,110727292,11925468
9213224,726845334,174646273,869738375,101687542
7727671,646437417,160765107,729039625,84161791
7161607,619399750,153783126,673081708,77761534
6200593,563495958,144937951,582571750,66598416
9345305,737738750,175882253,882713375,103249150
629228,260338958,93840734,54935250,5740438
7644832,643365333,160145256,721561750,83241327
3945904,435825417,122091808,366777583,40995305
6680187,587899167,149590574,628724000,72241547
9310940,734674125,175593277,877676959,102831529
7976051,660219000,162822341,771573958,86911306
7721322,652021333,160736563,735372333,84096704
39497,222267250,90027058,2871125,281709
2682095,366725125,111488942,245644791,27271434
6406983,573248375,147567387,623009333,68975728
1182376,287683042,97330078,105236125,11294235
3704786,425415584,119283950,344376875,38400284
5966915,547492833,143160113,558385667,64091583
2248105,341983125,106133894,204760792,22497093
4832632,484709500,129695734,450792500,51168186
5976396,554535417,143240447,560532375,64196057
3516388,417860959,117890832,324386083,36402038
9966966,769147584,182200886,947570125,110723466
9633683,755358125,178841258,933841583,106783627
3339444,410022709,116416607,309110750,34444062
155643,229541667,90446092,12399500,1261442
9767055,761892958,180325873,940211542,108424443
5612407,535167792,140094068,533216250,60120038
6918202,603198250,151964029,649465375,75004895
889315,267860541,95210761,78731542,8320222
5419261,522430208,138737986,509077542,57889610
5943530,547208459,143065015,579781958,63841870
6100338,578352208,144198624,591507666,65543396
8489427,708928083,167451051,817785666,92588613
6193405,572994750,144861899,583212041,66525361
166384,236039833,90618470,13526041,1356939
3937944,434753042,122021194,365899917,40902522
8306531,678921458,165842058,798257250,90407310
950529,271015500,95835078,84421500,8916296
1832495,319711291,102611319,165504333,18047781
9798910,767627625,180513206,926646917,108810116
9188597,724724041,174426686,874209292,101368610
7379395,626620167,155828596,701504833,80130117
3391143,404524334,116744498,313176083,35003263
2863790,375701666,112767879,261615042,29256513
8998986,714779458,172743963,852464875,99062596
2912195,382184167,113054563,272503875,29784251
1904985,331665875,103659352,174665792,18830573
4451368,462598791,126489982,414346417,46673632
6079800,553351125,143929860,570936500,65319409
