Size,ExecutionTime,Comparisons,sizeofS
10000000,1264369000,108946638,0
10000000,1178030292,108944287,1
10000000,1084032667,108943023,2
10000000,1025619417,109480445,3
10000000,1008357291,109805002,4
10000000,981573042,112222833,5
10000000,990987291,112215249,6
10000000,985753375,112220782,7
10000000,986893542,112219973,8
10000000,979928292,115457142,9
10000000,949715584,120141236,10
10000000,943847666,120150122,11
10000000,963166583,120143945,12
10000000,951076042,120143904,13
10000000,947006875,120157398,14
10000000,946921959,120148355,15
10000000,947217833,120155333,16
10000000,947457791,120151030,17
10000000,950626333,120153556,18
10000000,929791916,138041973,19
10000000,929595875,139605513,20
10000000,930340083,139627994,21
10000000,929861750,139619938,22
10000000,932895833,139614904,23
10000000,930519541,139600639,24
10000000,930080750,139613994,25
10000000,929548250,139617845,26
10000000,929987750,139604372,27
10000000,936063583,139595978,28
10000000,929830750,139600065,29
10000000,929829083,139618102,30
10000000,929967083,139615221,31
10000000,930300208,139630671,32
10000000,933918542,139613536,33
10000000,930516083,139600402,34
10000000,929684167,139602722,35
10000000,930415917,139618125,36
10000000,930303167,139611644,37
10000000,949677583,175910338,38
10000000,947942792,182514651,39
10000000,946852208,182564138,40
10000000,946754166,182586467,41
10000000,947483000,182561182,42
10000000,950734583,182557234,43
10000000,947563791,182585931,44
10000000,948168750,182547766,45
10000000,947690750,182513257,46
10000000,947915958,182512850,47
10000000,950935958,182566380,48
10000000,948565166,182561396,49
10000000,947626834,182545588,50
10000000,947747458,182584198,51
10000000,947575875,182517818,52
10000000,950795583,182559706,53
10000000,948533250,182567499,54
10000000,948448291,182591724,55
10000000,947925875,182564014,56
10000000,947104375,182544394,57
10000000,950915458,182559523,58
10000000,948339417,182554074,59
10000000,947440958,182572303,60
10000000,947509416,182573589,61
10000000,957202083,182581532,62
10000000,951334666,182528371,63
10000000,951960833,182540043,64
10000000,947129042,182533273,65
10000000,947445500,182595687,66
10000000,947727375,182579637,67
10000000,951520584,182569591,68
10000000,947621625,182541166,69
10000000,947253375,182528549,70
10000000,946519542,182585397,71
10000000,948285792,182583053,72
10000000,951505916,182511361,73
10000000,947787791,182544826,74
10000000,948401958,182544378,75
10000000,1038505625,245894306,76
10000000,1083036125,273067131,77
10000000,1087112792,273095575,78
10000000,1083466500,273125655,79
10000000,1082853000,273120888,80
10000000,1082462417,273003214,81
10000000,1086664250,273046404,82
10000000,1083366250,273125566,83
10000000,1082727083,273044281,84
10000000,1082792667,273051244,85
10000000,1083382084,272990382,86
10000000,1087220916,273105544,87
10000000,1083652917,273049166,88
10000000,1083421334,273061581,89
10000000,1083493750,273086037,90
10000000,1087622292,273062042,91
10000000,1083070125,273061420,92
10000000,1083619375,273117019,93
10000000,1083372625,273076611,94
10000000,1085792708,273120453,95
10000000,1091069917,273041945,96
10000000,1083875209,273110068,97
10000000,1082453500,273100003,98
10000000,1083653875,273036149,99
10000000,1085969625,273007134,100
10000000,1083526625,273073623,101
10000000,1083840208,273131403,102
10000000,1083392250,273098942,103
10000000,1085872291,273024740,104
10000000,1087298250,273063406,105
10000000,1083190459,273012907,106
10000000,1083458417,273105652,107
10000000,1082502167,273002893,108
10000000,1087042791,273061128,109
10000000,1083143500,273077712,110
10000000,1082578334,273094633,111
10000000,1082933500,273105538,112
10000000,1086448584,273101084,113
10000000,1082785709,273128844,114
10000000,1082566875,273039869,115
10000000,1083084208,273057468,116
10000000,1085008375,273118602,117
10000000,1087109208,273063897,118
10000000,1083062833,273156830,119
10000000,1082648250,272994175,120
10000000,1083392959,273064336,121
10000000,1086331000,273069922,122
10000000,1083399917,273108648,123
10000000,1080882125,273092172,124
10000000,1083111375,273150215,125
10000000,1087281791,273055715,126
10000000,1083183625,273084792,127
10000000,1082804875,272997854,128
10000000,1082788375,273009438,129
10000000,1082672917,273018367,130
10000000,1087227625,273049933,131
10000000,1083117167,273056436,132
10000000,1083089208,273021821,133
10000000,1082990208,273040209,134
10000000,1087033083,273001975,135
10000000,1083519959,273041618,136
10000000,1083299958,273011705,137
10000000,1082762000,273108803,138
10000000,1086572542,273109574,139
10000000,1083786958,272999238,140
10000000,1084004042,273132024,141
10000000,1083494333,273096921,142
10000000,1083160875,273095879,143
10000000,1086214625,273101243,144
10000000,1082594375,273068240,145
10000000,1082994583,273031997,146
10000000,1098005084,273077820,147
10000000,1086223333,273009412,148
10000000,1082789541,273131293,149
10000000,1082888083,272997499,150
10000000,1081004625,273054516,151
10000000,1217802209,349120901,152
10000000,1405592666,459013084,153
10000000,1407045750,458899945,154
10000000,1405269083,458805721,155
10000000,1407647625,458848789,156
10000000,1402166083,458880863,157
10000000,1404732750,458742185,158
10000000,1408488833,458954257,159
10000000,1405430083,458793501,160
10000000,1407275584,458897391,161
10000000,1406852667,458959631,162
10000000,1408898042,458907037,163
10000000,1406473458,458844952,164
10000000,1404739917,458917451,165
10000000,1407442959,458937363,166
10000000,1404389417,458800329,167
10000000,1405577750,458819859,168
10000000,1407305500,459047706,169
10000000,1410148583,458868967,170
10000000,1406310875,458874502,171
10000000,1403953209,458887946,172
10000000,1409535792,458768764,173
10000000,1406838500,458985848,174
10000000,1404926667,458808782,175
10000000,1408309084,458843001,176
10000000,1407012416,458753442,177
10000000,1405312917,458921498,178
10000000,1406027500,458792422,179
10000000,1408426917,458858266,180
10000000,1406175209,458935463,181
10000000,1407619584,458855404,182
10000000,1406968750,458658100,183
10000000,1407045416,458828480,184
10000000,1407818750,458837655,185
10000000,1405979000,458977197,186
10000000,1404770458,458773209,187
10000000,1399096875,458944919,188
10000000,1406082834,458754959,189
10000000,1407908750,458816683,190
10000000,1405929708,458811834,191
10000000,1404131917,458907839,192
10000000,1405010375,458848533,193
10000000,1408817583,458901735,194
10000000,1405300625,458653036,195
10000000,1406693042,458728317,196
10000000,1409314375,458864396,197
10000000,1406266333,458966629,198
10000000,1405623667,458857066,199
10000000,1406746500,458796788,200
10000000,1406948833,458784892,201
10000000,1407845459,458922991,202
10000000,1405808083,458798249,203
10000000,1414508375,458920553,204
10000000,1408692917,458680713,205
10000000,1406186625,458939042,206
10000000,1407753417,458853893,207
10000000,1410897583,458855863,208
10000000,1406347875,458850327,209
10000000,1405239416,458979607,210
10000000,1407704583,458861910,211
10000000,1405904917,458814226,212
10000000,1407734208,458969513,213
10000000,1410224334,458938026,214
10000000,1406462083,458904963,215
10000000,1406352791,458935342,216
10000000,1406551042,458831915,217
10000000,1409551625,458902522,218
10000000,1405908250,458820532,219
10000000,1405214375,458814322,220
10000000,1408650458,458947841,221
10000000,1407026542,458910812,222
10000000,1406213709,458963170,223
10000000,1408209459,458880219,224
10000000,1397806583,458849239,225
10000000,1406092334,459082790,226
10000000,1406449667,458865850,227
10000000,1407625000,458658687,228
10000000,1399733250,458799818,229
10000000,1402834209,458892938,230
10000000,1406984500,459047319,231
10000000,1406232959,458796800,232
10000000,1403314542,458766321,233
10000000,1401444917,458917176,234
10000000,1407531583,458886324,235
10000000,1405669208,458921091,236
10000000,1406911542,458832237,237
10000000,1406631583,458762323,238
10000000,1405374083,458819105,239
10000000,1406583000,458985654,240
10000000,1403054708,458858599,241
10000000,1406705375,458844660,242
10000000,1404745083,458923725,243
10000000,1406373292,458914327,244
10000000,1407101625,458873693,245
10000000,1405418166,458956353,246
10000000,1406423042,458915549,247
10000000,1405864292,458811896,248
10000000,1411321084,458921507,249
10000000,1404194375,458904693,250
10000000,1406306250,458847610,251
10000000,1408979542,458861168,252
10000000,1405764625,458794947,253
10000000,1403975375,459028003,254
10000000,1407412083,458787249,255
10000000,1414089834,458925302,256
10000000,1410012209,458908538,257
10000000,1414797166,458837980,258
10000000,1418728250,458915207,259
10000000,1415074250,458930415,260
10000000,1414620958,458861147,261
10000000,1417685167,458922177,262
10000000,1415290917,458820403,263
10000000,1414853625,458834607,264
10000000,1414296833,458946761,265
10000000,1413899750,458856363,266
10000000,1420779416,458884520,267
10000000,1415272542,458881733,268
10000000,1415467708,458900646,269
10000000,1414492875,458913214,270
10000000,1414133417,458880777,271
10000000,1417614333,459042433,272
10000000,1413801667,458856492,273
10000000,1431107333,458834288,274
10000000,1426600916,458887472,275
10000000,1430886250,458910897,276
10000000,1430430875,458931296,277
10000000,1419783000,458830896,278
10000000,1420496500,458910221,279
10000000,1457344333,458776964,280
10000000,1440136875,458955929,281
10000000,1414062792,458851783,282
10000000,1427418208,459056754,283
10000000,1430364458,458861667,284
10000000,1428862542,458954264,285
10000000,1434717333,459053865,286
10000000,1417007750,458865447,287
10000000,1417788083,458772227,288
10000000,1458669083,458921594,289
10000000,1496003875,458922954,290
10000000,1477565792,458833328,291
10000000,1442837167,458969574,292
10000000,1434698083,458966723,293
10000000,1440748750,458936126,294
10000000,1423685083,458804431,295
10000000,1416929083,458870089,296
10000000,1416064583,458890654,297
10000000,1417351916,458914425,298
10000000,1419738167,458872613,299
10000000,1416164542,458920166,300
10000000,1416192041,458838548,301
10000000,1416328042,458805969,302
10000000,1413866292,458816166,303
10000000,1407209875,458741488,304
10000000,1982082958,768967408,305
10000000,2106452583,835235487,306
10000000,2113696625,835467391,307
10000000,2122464583,835647512,308
10000000,2104379000,835470465,309
10000000,2106388584,835462685,310
10000000,2102402584,835709640,311
10000000,2115291833,835403958,312
10000000,2118015417,835284726,313
10000000,2115327292,835455729,314
10000000,2116107667,835679454,315
10000000,2111037167,835083858,316
10000000,2117646083,835397811,317
10000000,2115997625,835324857,318
10000000,2145116459,835284823,319
10000000,2131130458,835343621,320
10000000,2119397875,835320840,321
10000000,2139848792,835522880,322
10000000,2108471792,835366888,323
10000000,2110613041,836064463,324
10000000,2116233167,835421490,325
10000000,2157228041,835176159,326
10000000,2126719250,835078421,327
10000000,2110283750,835452171,328
10000000,2118679333,835557900,329
10000000,2113139000,835354267,330
10000000,2116796125,835360583,331
10000000,2150104791,835627925,332
10000000,2115201875,835490417,333
10000000,2110718875,835259840,334
10000000,2105133834,835317439,335
10000000,2111316875,835578960,336
10000000,2184800208,835147604,337
10000000,2159604833,835388562,338
10000000,2129812833,835254441,339
10000000,2128058542,835387980,340
10000000,2115908333,835444109,341
10000000,2153304417,835079468,342
10000000,2109492416,835640208,343
10000000,2115784250,835338364,344
10000000,2108643875,835702178,345
10000000,2104424833,835477641,346
10000000,2111814333,835381532,347
10000000,2114625666,835388461,348
10000000,2122573750,835364561,349
10000000,2121680708,835433680,350
10000000,2117141833,835279272,351
10000000,2115975833,835319680,352
10000000,2125272791,835195248,353
10000000,2114937750,835437407,354
10000000,2115999041,835069478,355
10000000,2117759000,835662228,356
10000000,2110100708,835518720,357
10000000,2114306875,835171780,358
10000000,2172619375,835262087,359
10000000,2110831000,835187958,360
10000000,2143740417,835561943,361
10000000,2106932375,835506232,362
10000000,2103544500,835246021,363
10000000,2117455959,835469034,364
10000000,2115445667,835425185,365
10000000,2148650791,835251057,366
10000000,2114405792,835360979,367
10000000,2115352458,835301905,368
10000000,2104039250,835169973,369
10000000,2177021958,835696316,370
10000000,2116339542,835449631,371
10000000,2122247208,835151657,372
10000000,2111270875,835478917,373
10000000,2154740667,835765951,374
10000000,2117604750,835592304,375
10000000,2123696375,835263635,376
10000000,2116113375,835359173,377
10000000,2106912834,835742921,378
10000000,2115089958,835148879,379
10000000,2105195500,835484272,380
10000000,2107422750,835630376,381
10000000,2111907416,835695043,382
10000000,2125685625,835187767,383
10000000,2109137417,835552887,384
